id,u,v
1200,3886.56,629.28
1201,4311.36,583.2
1202,1175.04,1743.84
1203,1213.92,1743.84
1204,347.04,1329.12
1205,3938.4,659.52
1206,3852,669.6
1207,3902.4,659.52
1208,3859.2,669.6
1209,3948.48,669.6
1210,2005.92,1880.64
1211,1968.48,828
1212,4016.16,658.08
1213,3952.8,658.08
1214,504,1121.76
1215,925.92,829.44
1216,887.04,915.84
1217,3852,658.08
1218,2475.36,2060.64
1219,3826.08,626.4
1220,1369.44,584.64
1221,403.2,1179.36
1222,1143.36,1729.44
1223,3823.2,684
1224,1147.68,1607.04
1225,911.52,1684.8
1226,3971.52,613.44
1227,1117.44,1746.72
1228,3839.04,671.04
1229,3844.8,671.04
1230,3926.88,671.04
1231,1149.12,1746.72
1232,3932.64,671.04
1233,804.96,1146.24
1234,3631.68,303.84
1235,3651.84,1432.8
1236,3808.8,1539.36
1237,4027.68,606.24
1238,4007.52,606.24
1239,1372.32,1641.6
1240,3736.8,1524.96
1241,1527.84,1154.88
1242,1280.16,1726.56
1243,3818.88,1483.2
1244,3795.84,630.72
1245,3705.12,1473.12
1246,3872.16,630.72
1247,1908,1883.52
1248,3418.56,748.8
1249,3792.96,672.48
1250,3808.8,672.48
1251,4023.36,656.64
1252,1169.28,1748.16
1253,3813.12,672.48
1254,1239.84,1725.12
1255,1033.92,1725.12
1256,1994.4,851.04
1257,1903.68,3130.56
1258,1550.88,1317.6
1259,3958.56,660.96
1260,1107.36,1751.04
1261,1141.92,1751.04
1262,3863.52,673.92
1263,3906.72,673.92
1264,705.6,1176.48
1265,3902.4,655.2
1266,3957.12,614.88
1267,1218.24,1722.24
1268,3876.48,655.2
1269,3774.24,655.2
1270,3756.96,1532.16
1271,626.4,1144.8
1272,669.6,1149.12
1273,2498.4,2000.16
1274,1130.4,1752.48
1275,1949.76,1969.92
1276,3945.6,612
1277,230.4,1329.12
1278,3784.32,662.4
1279,2446.56,2062.08
1280,3958.56,653.76
1281,4096.8,1270.08
1282,3813.12,632.16
1283,1206.72,1657.44
1284,3801.6,653.76
1285,3857.76,632.16
1286,3957.12,640.8
1287,3919.68,632.16
1288,3928.32,640.8
1289,3307.68,2020.32
1290,3955.68,632.16
1291,1251.36,1656
1292,4006.08,632.16
1293,4013.28,632.16
1294,2439.36,2075.04
1295,3006.72,1720.8
1296,2412,2085.12
1297,3837.6,640.8
1298,3767.04,1530.72
1299,1704.96,1172.16
1300,2715.84,2020.32
1301,3598.56,446.4
1302,3780,1566.72
1303,3192.48,869.76
1304,4001.76,604.8
1305,3738.24,1516.32
1306,3994.56,604.8
1307,2424.96,2073.6
1308,2917.44,889.92
1309,3876.48,675.36
1310,360,1339.2
1311,3890.88,675.36
1312,1287.36,1720.8
1313,1228.32,1654.56
1314,1340.64,1719.36
1315,3676.32,1487.52
1316,3834.72,686.88
1317,4030.56,1804.32
1318,3012.48,1771.2
1319,3852,650.88
1320,1308.96,1719.36
1321,3824.64,1566.72
1322,1391.04,794.88
1323,1033.92,1719.36
1324,2967.84,1717.92
1325,799.2,1140.48
1326,3958.56,649.44
1327,1392.48,1630.08
1328,2371.68,2237.76
1329,3790.08,1520.64
1330,4114.08,973.44
1331,1139.04,1612.8
1332,2427.84,1700.64
1333,1330.56,1640.16
1334,3774.24,648
1335,1146.24,1615.68
1336,3938.4,648
1337,3886.56,676.8
1338,673.92,1180.8
1339,3841.92,648
1340,3876.48,648
1341,3906.72,648
1342,1150.56,1617.12
1343,1193.76,1663.2
1344,393.12,1182.24
